SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-27-2021,Single Family Residential,7622 10th St,Buena Park,CA,90621,625000,2,2,82 - Buena Park,1050,5000,1916,,595,,Sold,,,https://www.redfin.com/CA/Buena-Park/7622-10th-St-90621/home/5923922,CRMLS,OC21136420,N,Y,33.8633116,-118.0004489
PAST SALE,June-21-2024,Condo/Co-op,160 Hayden Way,Brea,CA,92821,715000,2,2.5,Other (OTHR),1302,,2002,,549,335,Sold,,,https://www.redfin.com/CA/Brea/160-Hayden-Way-92821/home/5895365,CRMLS,OC24090611,N,Y,33.9313272,-117.8950868
PAST SALE,November-18-2021,Condo/Co-op,111 Landroute,Irvine,CA,92618,1388000,3,3.5,PS - Portola Springs,1849,,2020,,751,248,Sold,,,https://www.redfin.com/CA/Irvine/111-Landroute-92618/home/176723520,CRMLS,OC21227150,N,Y,33.68979464,-117.7042083
PAST SALE,February-7-2024,Single Family Residential,2531 N La Colina,Orange,CA,92867,2750000,5,5.5,"75 - Orange, Orange Park Acres E of 55",4425,11316,2020,,621,405,Sold,,,https://www.redfin.com/CA/Orange/2531-N-La-Colina-Ct-92867/home/167270689,CRMLS,OC23217675,N,Y,33.8309052,-117.824529
PAST SALE,April-3-2024,Single Family Residential,6122 Winslow Dr,Huntington Beach,CA,92647,1120000,4,2,17 - Northwest Huntington Beach,1434,6000,1963,,781,,Sold,,,https://www.redfin.com/CA/Huntington-Beach/6122-Winslow-Dr-92647/home/3753372,CRMLS,OC24032271,N,Y,33.7357996,-118.0218428
PAST SALE,July-21-2021,Townhouse,2114 Flame Flower Ln,Fullerton,CA,92833,720000,3,2.5,83 - Fullerton,1491,,1990,,483,215,Sold,,,https://www.redfin.com/CA/Fullerton/2114-Flame-Flower-Ln-92833/home/5364227,CRMLS,OC21135449,N,Y,33.8967918,-117.9825227
PAST SALE,October-6-2022,Single Family Residential,2254 Tamarac Ln,Tustin,CA,92780,632000,2,2,71 - Tustin,1054,1967,1974,,600,187,Sold,,,https://www.redfin.com/CA/Tustin/2254-Tamarac-Ln-92780/home/4619419,CRMLS,OC22199849,N,Y,33.724736,-117.807453
PAST SALE,May-26-2022,Condo/Co-op,140 Stellar,Irvine,CA,92618,1300000,3,3.5,GP - Great Park,2260,,2017,,575,432,Sold,,,https://www.redfin.com/CA/Irvine/140-Stellar-92618/home/167413781,CRMLS,OC22080820,N,Y,33.6830656,-117.7371356
PAST SALE,March-6-2024,Condo/Co-op,98 Greenfield #95,Irvine,CA,92614,792000,2,2,WB - Woodbridge,1159,,1982,,683,694,Sold,,,https://www.redfin.com/CA/Irvine/98-Greenfield-92614/unit-95/home/5573657,CRMLS,OC24031076,N,Y,33.6785823,-117.8103903
PAST SALE,June-12-2024,Single Family Residential,4323 E Kirkwood Ave,Orange,CA,92869,1350000,4,2.5,Other (OTHR),2209,8000,1962,,611,,Sold,,,https://www.redfin.com/CA/Orange/4323-E-Kirkwood-Ave-92869/home/4426007,CRMLS,OC24092134,N,Y,33.77527,-117.8069658
