SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-1-2021,Single Family Residential,10553 Maple St,Cypress,CA,90630,915000,4,2,699 - Not Defined,1480,5175,1970,,618,,Sold,,,https://www.redfin.com/CA/Cypress/10553-Maple-St-90630/home/3671652,CRMLS,OC21190676,N,Y,33.8090017,-118.0191542
PAST SALE,August-27-2021,Condo/Co-op,3316 E Lochleven Ln Unit D,Orange,CA,92869,710000,3,2.5,"75 - Orange, Orange Park Acres E of 55",1788,,1998,,397,260,Sold,,,https://www.redfin.com/CA/Orange/3316-E-Lochleven-Ln-92869/unit-D/home/5799012,CRMLS,OC21118290,N,Y,33.7916857,-117.8180069
PAST SALE,July-29-2021,Single Family Residential,134 Ruby Dr,Placentia,CA,92870,676000,2,1,84 - Placentia,1054,6955,1951,,641,,Sold,,,https://www.redfin.com/CA/Placentia/134-Ruby-Dr-92870/home/4200501,CRMLS,PW21147998,N,Y,33.8779972,-117.8703592
PAST SALE,January-26-2023,Single Family Residential,413 E Rockaway Dr,Placentia,CA,92870,999000,4,2.5,84 - Placentia,2216,4018,1990,,451,230,Sold,,,https://www.redfin.com/CA/Placentia/413-E-Rockaway-Dr-92870/home/4215860,CRMLS,OC22245305,N,Y,33.8873628,-117.8580749
PAST SALE,December-4-2023,Single Family Residential,19837 Margate Ln,Huntington Beach,CA,92646,520000,1,1,14 - South Huntington Beach,600,800,1964,,867,220,Sold,,,https://www.redfin.com/CA/Huntington-Beach/19837-Margate-Ln-92646/home/3809419,CRMLS,OC23205532,N,Y,33.6745252,-117.9515511
PAST SALE,May-17-2022,Condo/Co-op,111 Newall,Irvine,CA,92618,1420000,3,2.5,GP - Great Park,2013,,2016,,705,215,Sold,,,https://www.redfin.com/CA/Irvine/111-Newall-92618/home/143914741,CRMLS,OC22060879,N,Y,33.688994,-117.731562
PAST SALE,December-2-2021,Condo/Co-op,5 Finch,Lake Forest,CA,92630,865000,3,2.5,BK - Baker Ranch,1428,,2015,,606,351,Sold,,,https://www.redfin.com/CA/Lake-Forest/5-Finch-92630/home/112727461,CRMLS,OC21235835,N,Y,33.6763148,-117.6783312
PAST SALE,September-13-2021,Single Family Residential,3007 N Gayle St,Orange,CA,92865,930000,3,2,"72 - Orange & Garden Grove, E of Harbor, N of 22 F",1531,10400,1963,,607,,Sold,,,https://www.redfin.com/CA/Orange/3007-N-Gayle-St-92865/home/4319768,CRMLS,OC21178986,N,Y,33.83937,-117.8390196
PAST SALE,September-15-2021,Single Family Residential,17355 Summer Oak Pl,Yorba Linda,CA,92886,1033499,4,3,85 - Yorba Linda,2383,5824,1991,,434,77,Sold,,,https://www.redfin.com/CA/Yorba-Linda/17355-Summer-Oak-Pl-92886/home/4225386,CRMLS,OC21178033,N,Y,33.8751634,-117.830295
PAST SALE,March-22-2024,Condo/Co-op,5101 Tortuga Dr #109,Huntington Beach,CA,92649,450000,1,1,15 - West Huntington Beach,498,,1983,,904,445,Sold,,,https://www.redfin.com/CA/Huntington-Beach/5101-Tortuga-Dr-92649/unit-109/home/5717663,CRMLS,OC24040326,N,Y,33.7122998,-118.0396436
PAST SALE,August-4-2022,Condo/Co-op,5035 Twilight Canyon Rd Unit 31C,Yorba Linda,CA,92887,650000,3,2,85 - Yorba Linda,1456,,1994,,446,405,Sold,,,https://www.redfin.com/CA/Yorba-Linda/5035-Twilight-Canyon-Rd-92887/unit-31C/home/7212234,CRMLS,OC22144017,N,Y,33.8868639,-117.7339178
PAST SALE,May-2-2024,Single Family Residential,10178 Ascot Cir,Huntington Beach,CA,92646,530000,1,1,Huntington Bay (HBAY),600,800,1964,,883,220,Sold,,,https://www.redfin.com/CA/Huntington-Beach/10178-Ascot-Cir-92646/home/3809852,CRMLS,OC24070097,N,Y,33.6727599,-117.950867
PAST SALE,May-27-2022,Condo/Co-op,5151 Walnut Ave #2,Irvine,CA,92604,765000,2,2.5,EC - El Camino Real,1148,,1982,,666,395,Sold,,,https://www.redfin.com/CA/Irvine/5151-Walnut-Ave-92604/unit-2/home/5552659,CRMLS,OC22088369,N,Y,33.6937886,-117.7719845
PAST SALE,May-23-2022,Condo/Co-op,12611 Doral,Tustin,CA,92782,1100000,3,3,89 - Tustin Ranch,1734,,1994,,634,368,Sold,,,https://www.redfin.com/CA/Tustin/12611-Doral-92782/home/5438862,CRMLS,OC22072172,N,Y,33.7413896,-117.7896938
PAST SALE,March-2-2022,Single Family Residential,500 S Paseo De Luna,Anaheim Hills,CA,92807,1420000,4,2,77 - Anaheim Hills,1909,28750,1976,,744,,Sold,,,https://www.redfin.com/CA/Anaheim/500-S-Paseo-de-Luna-92807/home/4335904,CRMLS,OC22020242,N,Y,33.8458221,-117.7721898
PAST SALE,May-19-2022,Single Family Residential,2165 Via Teca,San Clemente,CA,92673,2000000,4,3,MH - Marblehead,2435,6000,1986,,821,271,Sold,,,https://www.redfin.com/CA/San-Clemente/2165-Via-Teca-92673/home/179501317,CRMLS,OC22075352,N,Y,33.4476247,-117.626384
PAST SALE,November-2-2021,Single Family Residential,743 Tennyson Ave,Placentia,CA,92870,900000,4,2,84 - Placentia,1480,6196,1971,,608,,Sold,,,https://www.redfin.com/CA/Placentia/743-Tennyson-Ave-92870/home/4186671,CRMLS,OC21217747,N,Y,33.8946681,-117.8513027
PAST SALE,February-4-2022,Single Family Residential,6 Edgewood,Coto De Caza,CA,92679,1650000,4,3,CC - Coto De Caza,3000,6600,1993,,550,250,Sold,,,https://www.redfin.com/CA/Coto-de-Caza/6-Edgewood-92679/home/5019804,CRMLS,OC22007539,N,Y,33.6003163,-117.5859879
PAST SALE,March-2-2022,Single Family Residential,222 17th St,Huntington Beach,CA,92648,1755000,3,3,15 - West Huntington Beach,2058,2875,1986,,853,,Sold,,,https://www.redfin.com/CA/Huntington-Beach/222-17th-St-92648/home/3132172,CRMLS,OC22013880,N,Y,33.6660865,-118.0107878
PAST SALE,April-19-2024,Condo/Co-op,16175 Dawn Way #202,Tustin,CA,92782,910000,2,2,89 - Tustin Ranch,1524,32725,2023,,597,509,Sold,,,https://www.redfin.com/CA/Tustin/16175-Dawn-Way-92782/unit-202/home/189571590,CRMLS,OC24056813,N,Y,33.7040107,-117.8309531
PAST SALE,November-24-2021,Single Family Residential,26021 Mcnatt Ct,Lake Forest,CA,92630,985000,3,2.5,LN - Lake Forest North,1564,3000,1987,,630,67,Sold,,,https://www.redfin.com/CA/Lake-Forest/26021-McNatt-Ct-92630/home/4817188,CRMLS,OC21224225,N,Y,33.6527319,-117.6769815
PAST SALE,May-31-2022,Single Family Residential,2532 W Flower Ave,Fullerton,CA,92833,780000,3,2,83 - Fullerton,1107,6058,1952,,705,,Sold,,,https://www.redfin.com/CA/Fullerton/2532-W-Flower-Ave-92833/home/3167543,CRMLS,OC22065599,N,Y,33.8629308,-117.9727129
PAST SALE,February-5-2024,Condo/Co-op,72 Brindisi,Irvine,CA,92618,1875000,3,2.5,LGA - Laguna Altura,1868,,2013,,1004,280,Sold,,,https://www.redfin.com/CA/Irvine/72-Brindisi-92618/home/58555212,CRMLS,OC23225291,N,Y,33.6477256,-117.7586656
PAST SALE,July-13-2021,Condo/Co-op,107 Dover Pl #107,Laguna Niguel,CA,92677,611000,3,2,LNSLT - Salt Creek,1206,,1985,,507,536,Sold,,,https://www.redfin.com/CA/Laguna-Niguel/107-Dover-Pl-92677/unit-107/home/5700583,CRMLS,OC21125679,N,Y,33.4959043,-117.7071485
PAST SALE,May-20-2022,Multi-Family (2-4 Unit),4251 Green Ave,Los Alamitos,CA,90720,1350000,4,3,52 - Los Alamitos,1829,9296,1960,,738,,Sold,,,https://www.redfin.com/CA/Los-Alamitos/4251-Green-Ave-90720/home/3937770,CRMLS,PW22073660,N,Y,33.8021871,-118.0584808
PAST SALE,June-29-2022,Single Family Residential,21122 Cancun,Mission Viejo,CA,92692,911000,2,3,MN - Mission Viejo North,1941,4305,1996,,469,411,Sold,,,https://www.redfin.com/CA/Mission-Viejo/21122-Cancun-92692/home/5102905,CRMLS,OC22103887,N,Y,33.6555729,-117.6335793
PAST SALE,August-5-2022,Single Family Residential,1018 N Lincoln Ave,Fullerton,CA,92831,1015000,3,2.5,83 - Fullerton,1646,7729,1955,,617,,Sold,,,https://www.redfin.com/CA/Fullerton/1018-N-Lincoln-Ave-92831/home/3158322,CRMLS,OC22123012,N,Y,33.8800472,-117.9107942
PAST SALE,June-30-2021,Single Family Residential,3016 E Walking Beam Pl,Brea,CA,92821,910000,3,2.5,86 - Brea,1827,2769,2011,,498,353,Sold,,,https://www.redfin.com/CA/Brea/3016-E-Walking-Beam-Pl-92821/home/45381452,CRMLS,OC21108439,N,Y,33.9256597,-117.8567201
PAST SALE,April-8-2024,Single Family Residential,4873 Kennedy Ln,Yorba Linda,CA,92886,1355000,4,3,85 - Yorba Linda,2261,2878,2005,,599,150,Sold,,,https://www.redfin.com/CA/Yorba-Linda/4873-Kennedy-Ln-92886/home/5950452,CRMLS,OC24046993,N,Y,33.8902539,-117.8187423
PAST SALE,March-18-2024,Single Family Residential,26831 Salazar Dr,Mission Viejo,CA,92691,1500000,5,2.5,MC - Mission Viejo Central,2882,7830,1972,,520,,Sold,,,https://www.redfin.com/CA/Mission-Viejo/26831-Salazar-Dr-92691/home/5041748,CRMLS,SR24024819,N,Y,33.6071272,-117.6621912
PAST SALE,January-6-2023,Single Family Residential,14542 Pepper Tree Cir,Tustin,CA,92780,1025000,3,2,71 - Tustin,1588,7000,1975,,645,,Sold,,,https://www.redfin.com/CA/Tustin/14542-Pepper-Tree-Cir-92780/home/4621285,CRMLS,OC22240956,N,Y,33.7201828,-117.8112521
PAST SALE,December-6-2022,Single Family Residential,650 Kinley St,La Habra,CA,90631,815000,4,2,87 - La Habra,1654,6893,1957,,493,,Sold,,,https://www.redfin.com/CA/La-Habra/650-Kinley-St-90631/home/3109043,CRMLS,OC22229269,N,Y,33.9373564,-117.9745505
PAST SALE,November-1-2022,Single Family Residential,1739 N Mountain View Pl,Fullerton,CA,92831,1000000,3,2,83 - Fullerton,1862,13275,1975,,537,105,Sold,,,https://www.redfin.com/CA/Fullerton/1739-N-Mountain-View-Pl-92831/home/4076206,CRMLS,OC22202208,N,Y,33.8881532,-117.8941986
PAST SALE,December-29-2021,Condo/Co-op,43 Avalon #73,Laguna Niguel,CA,92677,645000,2,2,LNSLT - Salt Creek,1120,,1986,,576,390,Sold,,,https://www.redfin.com/CA/Laguna-Niguel/43-Avalon-Cv-92677/unit-73/home/5309554,CRMLS,OC21250766,N,Y,33.5167875,-117.6835046
PAST SALE,September-20-2023,Condo/Co-op,2878 N Glassell St,Orange,CA,92865,711000,2,2.5,RVB - Riverbend,1174,,2020,,606,245,Sold,,,https://www.redfin.com/CA/Orange/2878-N-Glassell-St-92865/home/174117570,CRMLS,OC23156988,N,Y,33.837385,-117.8527028
PAST SALE,May-20-2024,Single Family Residential,630 Hawthorne Ave,Fullerton,CA,92833,900000,3,2,Other (OTHR),1457,6623,1957,,618,,Sold,,,https://www.redfin.com/CA/Fullerton/630-Hawthorne-Ave-92833/home/3315476,CRMLS,OC24066279,N,Y,33.8631197,-117.9600845
PAST SALE,September-16-2022,Single Family Residential,1 Orion,Irvine,CA,92603,3381000,6,5,TR - Turtle Rock,4034,8400,1985,,838,366,Sold,,,https://www.redfin.com/CA/Irvine/1-Orion-92603/home/4745551,CRMLS,OC22181540,N,Y,33.6397132,-117.8130677
PAST SALE,July-22-2021,Single Family Residential,412 Cline Ct,Placentia,CA,92870,1005000,5,3,84 - Placentia,2389,4961,2001,,421,46,Sold,,,https://www.redfin.com/CA/Placentia/412-Cline-Ct-92870/home/5807687,CRMLS,OC21128895,N,Y,33.8726424,-117.8480557
PAST SALE,August-1-2022,Single Family Residential,30 Cherokee St,Trabuco Canyon,CA,92679,1054500,4,2.5,WW - Wagon Wheel,1700,4860,1995,,620,87,Sold,,,https://www.redfin.com/CA/Trabuco-Canyon/30-Cherokee-St-92679/home/5023275,CRMLS,OC22104986,N,Y,33.5918419,-117.5950051
PAST SALE,February-1-2024,Single Family Residential,1634 W Brook St,Santa Ana,CA,92703,795000,3,1.5,699 - Not Defined,1139,6124,1956,,698,,Sold,,,https://www.redfin.com/CA/Santa-Ana/1634-W-Brook-St-92703/home/3535071,CRMLS,OC23230730,N,Y,33.735868,-117.8905565
PAST SALE,July-14-2022,Single Family Residential,1741 N Bedford Cir,Anaheim,CA,92806,920000,4,2,78 - Anaheim East of Harbor,1507,5500,1971,,610,,Sold,,,https://www.redfin.com/CA/Anaheim/1741-N-Bedford-Cir-92806/home/4207235,CRMLS,OC22121274,N,Y,33.8675184,-117.8582982
PAST SALE,,Single Family Residential,1015 W Arbor Way,Orange,CA,92868,900000,3,2,,1128,6888,1952,,798,,,,,https://www.redfin.com/CA/Orange/1015-W-Arbor-Way-92868/home/3220734,,,N,Y,33.7890891,-117.8632938
PAST SALE,April-23-2024,Single Family Residential,35 Mariner,Buena Park,CA,90621,1350000,4,2.5,82 - Buena Park,2434,4550,1999,,555,220,Sold,,,https://www.redfin.com/CA/Buena-Park/35-Mariner-Cv-90621/home/4070901,CRMLS,OC24049194,N,Y,33.8779372,-117.9770659
PAST SALE,April-17-2024,Condo/Co-op,2873 Player Ln,Tustin,CA,92782,875000,2,2.5,89 - Tustin Ranch,1170,,1998,,748,544,Sold,,,https://www.redfin.com/CA/Tustin/2873-Player-Ln-92782/home/5431224,CRMLS,OC24049269,N,Y,33.736208,-117.7821598
PAST SALE,May-25-2022,Single Family Residential,6485 E Camino Grande,Anaheim Hills,CA,92807,1437000,4,2.5,77 - Anaheim Hills,3127,7000,1981,,460,175,Sold,,,https://www.redfin.com/CA/Anaheim/6485-E-Camino-Grande-92807/home/4336769,CRMLS,OC22085313,N,Y,33.8357766,-117.7642483
PAST SALE,August-14-2023,Condo/Co-op,18163 Zion Ct,Fountain Valley,CA,92708,815000,3,2.5,16 - Fountain Valley / Northeast HB,1656,1894,1970,,492,280,Sold,,,https://www.redfin.com/CA/Fountain-Valley/18163-Zion-Ct-92708/home/3820492,CRMLS,OC23102334,N,Y,33.6994578,-117.9494353
PAST SALE,March-13-2023,Single Family Residential,113 Mangrove Banks,Irvine,CA,92620,2140000,4,4,EASTW - Eastwood,2546,3864,2016,,841,125,Sold,,,https://www.redfin.com/CA/Irvine/113-Mangrove-Banks-92620/home/112724489,CRMLS,OC23026727,N,Y,33.7139181,-117.7516936
PAST SALE,December-14-2021,Townhouse,537 W Summerfield Cir,Anaheim,CA,92802,642000,3,2.5,78 - Anaheim East of Harbor,1429,,1991,,449,340,Sold,,,https://www.redfin.com/CA/Anaheim/537-W-Summerfield-Cir-92802/home/5545025,CRMLS,PW21231217,N,Y,33.7924788,-117.9126276
PAST SALE,October-6-2023,Condo/Co-op,26176 Sanz Unit A,Mission Viejo,CA,92691,530000,2,2,MN - Mission Viejo North,693,,1985,,765,458,Sold,,,https://www.redfin.com/CA/Mission-Viejo/26176-Sanz-92691/unit-A/home/5304562,CRMLS,OC23170277,N,Y,33.6228708,-117.6733694
PAST SALE,August-8-2022,Townhouse,15500 Tustin Village Way #104,Tustin,CA,92780,550000,3,1.5,71 - Tustin,1260,630,1964,,437,290,Sold,,,https://www.redfin.com/CA/Tustin/15500-Tustin-Village-Way-92780/unit-104/home/4491156,CRMLS,OC22151591,N,Y,33.7392277,-117.8344627
PAST SALE,August-5-2021,Condo/Co-op,5590 E Vista Del Rio,Anaheim Hills,CA,92807,639000,2,2.5,77 - Anaheim Hills,1404,1537,1977,,455,353,Sold,,,https://www.redfin.com/CA/Anaheim/5590-E-Vista-del-Rio-92807/home/4330732,CRMLS,OC21146957,N,Y,33.8489234,-117.7932696
PAST SALE,March-28-2022,Single Family Residential,621 Rye Ave,La Habra,CA,90631,810000,3,2.5,87 - La Habra,1434,6160,1958,,565,,Sold,,,https://www.redfin.com/CA/La-Habra/621-Rye-Ave-90631/home/3115656,CRMLS,OC22026188,N,Y,33.9226436,-117.9524133
PAST SALE,September-20-2023,Condo/Co-op,3417 Watermarke Pl,Irvine,CA,92612,585000,1,1,AA - Airport Area,648,,2003,,903,456,Sold,,,https://www.redfin.com/CA/Irvine/3417-Watermarke-Pl-92612/home/5952711,CRMLS,OC23146230,N,Y,33.6661297,-117.8507885
PAST SALE,July-19-2021,Condo/Co-op,6324 Wisteria Dr,Westminster,CA,92683,860000,3,2.5,"60 - Westminster South of Westminster, W of Beach",1716,,2016,,501,165,Sold,,,https://www.redfin.com/CA/Westminster/6324-Wisteria-Dr-92683/home/143915962,CRMLS,OC21138710,N,Y,33.7537432,-118.0185358
PAST SALE,April-4-2022,Condo/Co-op,101 California Ct,Mission Viejo,CA,92692,635000,2,2,MN - Mission Viejo North,900,,1994,,706,405,Sold,,,https://www.redfin.com/CA/San-Juan-Capistrano/101-California-Ct-92692/home/5657191,CRMLS,OC22039172,N,Y,33.6575074,-117.6404282
PAST SALE,August-30-2023,Single Family Residential,21740 Todd Ave,Yorba Linda,CA,92887,1650000,4,3,85 - Yorba Linda,2557,10400,1987,,645,,Sold,,,https://www.redfin.com/CA/Yorba-Linda/21740-Todd-Ave-92887/home/4277853,CRMLS,OC23122020,N,Y,33.8840497,-117.753349
PAST SALE,October-30-2023,Townhouse,7140 Kelton Way,Stanton,CA,90680,630000,3,1.5,"61 - N of Gar Grv, S Of Ball, E of Knott, W of Dal",1121,1460,1971,,562,265,Sold,,,https://www.redfin.com/CA/Stanton/7140-Kelton-Way-90680/home/3639520,CRMLS,OC23165598,N,Y,33.7999336,-118.0088599
PAST SALE,February-18-2022,Condo/Co-op,85 Dogwood Ln #42,Aliso Viejo,CA,92656,590000,2,1.5,AV - Aliso Viejo,966,,1986,,611,344,Sold,,,https://www.redfin.com/CA/Aliso-Viejo/85-Dogwood-Ln-92656/unit-42/home/5739307,CRMLS,OC22007775,N,Y,33.571428,-117.710574
PAST SALE,June-29-2021,Single Family Residential,11722 Reagan St,Los Alamitos,CA,90720,1376000,3,3,699 - Not Defined,2217,8000,1964,,621,,Sold,,,https://www.redfin.com/CA/Los-Alamitos/11722-Reagan-St-90720/home/3629572,CRMLS,OC21104914,N,Y,33.7926165,-118.068943
PAST SALE,July-22-2022,Condo/Co-op,70 Bronze Leaf,Irvine,CA,92620,1020000,3,3.5,CV - Cypress Village,1541,,2015,,662,355,Sold,,,https://www.redfin.com/CA/Irvine/70-Bronze-Leaf-92620/home/112722301,CRMLS,OC22116708,N,Y,33.6812801,-117.7554378
PAST SALE,October-8-2021,Condo/Co-op,2518 N Tustin Ave Unit E,Santa Ana,CA,92705,340000,3,2.5,70 - Santa Ana North of First,1617,,1974,,210,400,Sold,,,https://www.redfin.com/CA/Santa-Ana/2518-N-Tustin-Ave-92705/unit-E/home/11902581,CRMLS,OC21188265,N,Y,33.7713355,-117.8367942
PAST SALE,December-28-2021,Single Family Residential,13372 Balos Dr,Garden Grove,CA,92844,858000,4,2,699 - Not Defined,1420,7930,1954,,604,,Sold,,,https://www.redfin.com/CA/Garden-Grove/13372-Balos-Dr-92844/home/3439099,CRMLS,OC21235871,N,Y,33.7682857,-117.9882794
PAST SALE,August-7-2023,Single Family Residential,11882 Jacalene Ln,Garden Grove,CA,92840,880000,3,2,"64 - Garden Grove E of Euclid, W of Harbor",1209,7229,1953,,728,,Sold,,,https://www.redfin.com/CA/Garden-Grove/11882-Jacalene-Ln-92840/home/3401756,CRMLS,OC23115207,N,Y,33.7902995,-117.9270741
PAST SALE,June-10-2024,Single Family Residential,21201 Ponderosa,Mission Viejo,CA,92692,1400000,3,3,Ventana (VEN),1976,4500,1987,,709,169,Sold,,,https://www.redfin.com/CA/Mission-Viejo/21201-Ponderosa-92692/home/5102176,CRMLS,OC24096788,N,Y,33.65469,-117.6404438
PAST SALE,June-6-2022,Condo/Co-op,28212 Sorrento #95,Laguna Niguel,CA,92677,650000,3,2,LNSEA - Sea Country,1131,,1984,,575,425,Sold,,,https://www.redfin.com/CA/Laguna-Niguel/28212-Sorrento-92677/unit-95/home/5684095,CRMLS,OC22092775,N,Y,33.550148,-117.677917
PAST SALE,May-2-2023,Condo/Co-op,1 Bainbridge Ct,Laguna Niguel,CA,92677,1299000,4,3.5,LNLAK - Lake Area,2486,,2006,,523,290,Sold,,,https://www.redfin.com/CA/Laguna-Niguel/1-Bainbridge-Ct-92677/home/40103872,CRMLS,OC23043767,N,Y,33.565584,-117.7001947
PAST SALE,August-23-2021,Single Family Residential,132 Main St,Ladera Ranch,CA,92694,891000,3,2.5,LD - Ladera Ranch,1800,2537,2000,,495,312,Sold,,,https://www.redfin.com/CA/Ladera-Ranch/132-Main-St-92694/home/5825759,CRMLS,OC21166390,N,Y,33.5611817,-117.633305
PAST SALE,March-13-2023,Condo/Co-op,3285 Moritz Dr #9,Huntington Beach,CA,92649,1335000,3,2.5,17 - Northwest Huntington Beach,1777,,1979,,751,613,Sold,,,https://www.redfin.com/CA/Huntington-Beach/3285-Moritz-Dr-92649/unit-9/home/5516942,CRMLS,OC23008993,N,Y,33.7251397,-118.0744684
PAST SALE,July-13-2021,Condo/Co-op,26611 El Toboso,Mission Viejo,CA,92691,745000,4,3,MS - Mission Viejo South,2230,1950,1976,,334,438,Sold,,,https://www.redfin.com/CA/Mission-Viejo/26611-El-Toboso-92691/home/5018866,CRMLS,OC21132800,N,Y,33.576366,-117.666242
PAST SALE,August-20-2021,Single Family Residential,26675 Avenida Shonto,Mission Viejo,CA,92691,840000,4,2,MS - Mission Viejo South,1463,6321,1972,,574,,Sold,,,https://www.redfin.com/CA/Mission-Viejo/26675-Avenida-Shonto-92691/home/5081600,CRMLS,OC21149330,N,Y,33.6280781,-117.6647078
PAST SALE,February-22-2024,Single Family Residential,529 Playa,Newport Beach,CA,92660,2225000,3,2.5,NV - East Bluff - Harbor View,1995,2526,1971,,1115,305,Sold,,,https://www.redfin.com/CA/Newport-Beach/529-Playa-92660/home/4644232,CRMLS,OC24013471,N,Y,33.6450084,-117.8745253
PAST SALE,August-6-2021,Condo/Co-op,21131 Knights Gln,Lake Forest,CA,92630,705000,3,2.5,LN - Lake Forest North,1266,,1987,,557,453,Sold,,,https://www.redfin.com/CA/Lake-Forest/21131-Knights-Gln-92630/home/180828512,CRMLS,OC21151558,N,Y,33.6553305,-117.6694846
PAST SALE,November-29-2021,Condo/Co-op,161 Streamwood,Irvine,CA,92620,520000,2,1,NW - Northwood,809,,1977,,643,395,Sold,,,https://www.redfin.com/CA/Irvine/161-Streamwood-92620/home/5492763,CRMLS,OC21201713,N,Y,33.7135225,-117.7590612
PAST SALE,April-5-2024,Single Family Residential,8412 Dallas Cir,Huntington Beach,CA,92646,1650000,5,3.5,14 - South Huntington Beach,2551,6000,1977,,647,,Sold,,,https://www.redfin.com/CA/Huntington-Beach/8412-Dallas-Cir-92646/home/3805971,CRMLS,OC24038315,N,Y,33.6746279,-117.9814197
PAST SALE,June-13-2022,Condo/Co-op,75 Henson,Irvine,CA,92620,1320000,3,2.5,EASTW - Eastwood,1724,,2017,,766,330,Sold,,,https://www.redfin.com/CA/Irvine/75-Henson-92620/home/167401796,CRMLS,OC22103378,N,Y,33.7137201,-117.7487752
PAST SALE,August-4-2021,Condo/Co-op,67 Origin,Irvine,CA,92618,770000,2,2,STE - Stonegate East,1178,1178,2014,,654,343,Sold,,,https://www.redfin.com/CA/Irvine/67-Origin-92618/home/112721418,CRMLS,OC21105952,N,Y,33.7003445,-117.7302849
PAST SALE,December-15-2021,Single Family Residential,11 Calle Adobe,Rancho Santa Margarita,CA,92688,975000,3,2.5,R2 - Rancho Santa Margarita Central,1660,4000,1986,,587,71,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Margarita/11-Calle-Adobe-92688/home/5092837,CRMLS,OC21245385,N,Y,33.6457199,-117.5837189
PAST SALE,November-8-2021,Single Family Residential,1254 N Moraga St,Anaheim,CA,92801,805000,3,2,79 - Anaheim West of Harbor,1521,6344,1955,,529,,Sold,,,https://www.redfin.com/CA/Anaheim/1254-N-Moraga-St-92801/home/3320378,CRMLS,OC21227498,N,Y,33.8511457,-117.9649657
PAST SALE,January-10-2022,Single Family Residential,25191 Luna Bonita Dr,Laguna Hills,CA,92653,1070000,3,2,S2 - Laguna Hills,1623,6120,1978,,659,,Sold,,,https://www.redfin.com/CA/Laguna-Hills/25191-Luna-Bonita-Dr-92653/home/4858710,CRMLS,OC21261404,N,Y,33.5889137,-117.6899781
PAST SALE,March-24-2022,Townhouse,562 Glorieta,Newport Beach,CA,92660,1700000,4,3,NV - East Bluff - Harbor View,1964,1564,1968,,866,444,Sold,,,https://www.redfin.com/CA/Newport-Beach/562-Glorieta-92660/home/4643654,CRMLS,OC22025998,N,Y,33.6389878,-117.8794395
